Date,GBI
6/1/03,5482.81
6/2/03,5482.58
6/3/03,5489.76
6/4/03,5494.61
6/5/03,5487.03
6/6/03,5469.25
6/7/03,5461.67
6/8/03,5450
6/9/03,5442.88
6/10/03,5452.89
6/11/03,5478.38
6/12/03,5497.94
6/13/03,5538.17
6/14/03,5550.55
6/15/03,5542.76
6/16/03,5509.32
6/17/03,5443.05
6/18/03,5411.11
6/19/03,5413.73
6/20/03,5427.41
6/21/03,5426.49
6/22/03,5442.95
6/23/03,5483.46
6/24/03,5508.33
6/25/03,5480.63
6/26/03,5452.52
6/27/03,5453.64
6/28/03,5503.84
6/29/03,5544.5
6/30/03,5566.62
7/1/03,5572.91
7/2/03,5584.79
7/3/03,5595.29
7/4/03,5601.47
7/5/03,5585.08
7/6/03,5562.03
7/7/03,5552.57
7/8/03,5535.7
7/9/03,5513.66
7/10/03,5514.41
7/11/03,5505.33
7/12/03,5487.39
7/13/03,5483.27
7/14/03,5477.49
7/15/03,5485.81
7/16/03,5522.32
7/17/03,5598.13
7/18/03,5620.49
7/19/03,5606.01
7/20/03,5580.87
7/21/03,5523.23
7/22/03,5489.03
7/23/03,5470.89
7/24/03,5478.97
7/25/03,5488.29
7/26/03,5492.89
7/27/03,5498.21
7/28/03,5505.73
7/29/03,5519.37
7/30/03,5505.32
7/31/03,5526.49
8/1/03,5538.67
8/2/03,5535.56
8/3/03,5549.45
8/4/03,5594.97
8/5/03,5623.64
8/6/03,5653.72
8/7/03,5640.94
8/8/03,5591.67
8/9/03,5526.93
8/10/03,5485.08
8/11/03,5466.17
8/12/03,5483.71
8/13/03,5489.46
8/14/03,5473.56
8/15/03,5434.27
8/16/03,5427.47
8/17/03,5447.41
8/18/03,5433.5
8/19/03,5421.66
8/20/03,5440.74
8/21/03,5464.57
8/22/03,5479.31
8/23/03,5512.82
8/24/03,5564.27
8/25/03,5632.48
8/26/03,5678.93
8/27/03,5673.86
8/28/03,5652.53
8/29/03,5636.7
8/30/03,5605.58
8/31/03,5550.11
9/1/03,5450.36
9/2/03,5377.96
9/3/03,5372.73
9/4/03,5359.39
9/5/03,5362.99
9/6/03,5362.97
9/7/03,5373.66
9/8/03,5398.47
9/9/03,5427.6
9/10/03,5478.12
9/11/03,5486.07
9/12/03,5468.01
9/13/03,5441.15
9/14/03,5426.08
9/15/03,5455.21
9/16/03,5473.85
9/17/03,5488.74
9/18/03,5476.34
9/19/03,5464.23
9/20/03,5455.34
9/21/03,5448.2
9/22/03,5416.29
9/23/03,5405.84
9/24/03,5421.15
9/25/03,5405.84
9/26/03,5410.45
9/27/03,5400.94
9/28/03,5401.16
9/29/03,5437.35
9/30/03,5441.62
10/1/03,5384.15
10/2/03,5327.95
10/3/03,5339.04
10/4/03,5343.33
10/5/03,5317.25
10/6/03,5325.23
10/7/03,5261.22
10/8/03,5254.11
10/9/03,5253.19
10/10/03,5325.41
10/11/03,5350
10/12/03,5360.32
10/13/03,5382.5
10/14/03,5415.85
10/15/03,5453.22
10/16/03,5512.5
10/17/03,5555.25
10/18/03,5559.18
10/19/03,5544.4
10/20/03,5538.02
10/21/03,5483.23
10/22/03,5427.25
10/23/03,5425.59
10/24/03,5449.14
10/25/03,5391.41
10/26/03,5258.3
10/27/03,5165.27
10/28/03,5189.36
10/29/03,5210.4
10/30/03,5283.94
10/31/03,5271.46
11/1/03,5197.44
11/2/03,5168.4
11/3/03,5144.96
11/4/03,5137.22
11/5/03,5158.59
11/6/03,5186.13
11/7/03,5183.86
11/8/03,5195.11
11/9/03,5230.89
11/10/03,5223.62
11/11/03,5245.15
11/12/03,5271.41
11/13/03,5259.59
11/14/03,5292.59
11/15/03,5338.39
11/16/03,5277.88
11/17/03,5219.31
11/18/03,5248.63
11/19/03,5269.37
11/20/03,5270.25
11/21/03,5247.13
11/22/03,5207.21
11/23/03,5125.85
11/24/03,5082.61
11/25/03,5156.81
11/26/03,5205.03
11/27/03,5172.86
11/28/03,5151.46
11/29/03,5132.11
11/30/03,5168.31
12/1/03,5129.22
12/2/03,5102.19
12/3/03,5130.46
12/4/03,5274.45
12/5/03,5337.42
12/6/03,5236.35
12/7/03,5229.4
12/8/03,5228.22
12/9/03,5183.24
12/10/03,5148.38
12/11/03,5132.68
12/12/03,5112.65
12/13/03,5125.29
12/14/03,5183.97
12/15/03,5224.14
12/16/03,5217.62
12/17/03,5172.54
12/18/03,5188.92
12/19/03,5255.87
12/20/03,5287.5
12/21/03,5277.32
12/22/03,5223.85
12/23/03,5136.8
12/24/03,5132.02
12/25/03,5182
12/26/03,5184.43
12/27/03,5179.62
12/28/03,5143.27
12/29/03,5124.16
12/30/03,5103.97
12/31/03,5144.22
1/1/04,5236.24
1/2/04,5229.49
1/3/04,5205.61
1/4/04,5165.44
1/5/04,5125.38
1/6/04,5099.67
1/7/04,5086.5
1/8/04,5094.4
1/9/04,5113.33
1/10/04,5099.11
1/11/04,5087.57
1/12/04,5080.58
1/13/04,5102.45
1/14/04,5161.4
1/15/04,5227.02
1/16/04,5206.97
1/17/04,5198.48
1/18/04,5181.17
1/19/04,5167.39
1/20/04,5150.84
1/21/04,5065.74
1/22/04,5003.63
1/23/04,4986.45
1/24/04,5085.09
1/25/04,5208.15
1/26/04,5292.13
1/27/04,5380.53
1/28/04,5375.68
1/29/04,5318.48
1/30/04,5246
1/31/04,5193.1
2/1/04,5149.15
2/2/04,5113.33
2/3/04,5097.63
2/4/04,5120.93
2/5/04,5151.93
2/6/04,5186.44
2/7/04,5239.98
2/8/04,5243.96
2/9/04,5198.65
2/10/04,5154.65
2/11/04,5128.33
2/12/04,5101.41
2/13/04,5090.39
2/14/04,5136.87
2/15/04,5148.94
2/16/04,5151.45
2/17/04,5124.02
2/18/04,5062.87
2/19/04,5078.52
2/20/04,5113.65
2/21/04,5221.1
2/22/04,5261.48
2/23/04,5268.64
2/24/04,5321.61
2/25/04,5354.08
2/26/04,5361.51
2/27/04,5313.25
2/28/04,5233.93
2/29/04,5180.63
3/1/04,5159.9
3/2/04,5128.93
3/3/04,5088.66
3/4/04,5096.31
3/5/04,5119.56
3/6/04,5114.96
3/7/04,5100.87
3/8/04,5109.86
3/9/04,5131.87
3/10/04,5114.76
3/11/04,5124.33
3/12/04,5161.39
3/13/04,5183.21
3/14/04,5135.02
3/15/04,5075.17
3/16/04,5066.82
3/17/04,5086.9
3/18/04,5106.03
3/19/04,5120.94
3/20/04,5111.52
3/21/04,5132.18
3/22/04,5210.35
3/23/04,5230.76
3/24/04,5261.65
3/25/04,5197.59
3/26/04,5142.52
3/27/04,5106.44
3/28/04,5122.48
3/29/04,5195.74
3/30/04,5212.37
3/31/04,5199.87
4/1/04,5220.24
4/2/04,5169.81
4/3/04,5113.27
4/4/04,5155.79
4/5/04,5261.39
4/6/04,5326.07
4/7/04,5360.09
4/8/04,5371.27
4/9/04,5369.48
4/10/04,5317.04
4/11/04,5256.83
4/12/04,5188.17
4/13/04,5191.28
4/14/04,5230.88
4/15/04,5225.52
4/16/04,5189.16
4/17/04,5215.93
4/18/04,5234.28
4/19/04,5225.93
4/20/04,5252.26
4/21/04,5295.43
4/22/04,5333.94
4/23/04,5328.11
4/24/04,5303.13
4/25/04,5320.54
4/26/04,5340.43
4/27/04,5397.88
4/28/04,5431.47
4/29/04,5412.57
4/30/04,5353.99
5/1/04,5323.3
5/2/04,5311.58
5/3/04,5281.76
5/4/04,5308.5
5/5/04,5370.23
5/6/04,5412.88
5/7/04,5437.13
5/8/04,5465.24
5/9/04,5468.98
5/10/04,5442.05
5/11/04,5406.4
5/12/04,5387.56
5/13/04,5427.67
5/14/04,5406.19
5/15/04,5371.15
5/16/04,5340.23
5/17/04,5341.16
5/18/04,5361.62
5/19/04,5378.62
5/20/04,5381.19
5/21/04,5359.24
5/22/04,5348.31
5/23/04,5372.88
5/24/04,5394.75
5/25/04,5410.28
5/26/04,5429.32
5/27/04,5455.6
5/28/04,5474.53
5/29/04,5499.48
5/30/04,5550.73
5/31/04,5552.07
6/1/04,5527.81
6/2/04,5516.86
6/3/04,5507.83
6/4/04,5498.08
6/5/04,5474.52
6/6/04,5463.04
6/7/04,5471.64
6/8/04,5468.47
6/9/04,5437.21
6/10/04,5440.68
6/11/04,5457.57
6/12/04,5404.58
6/13/04,5358.25
6/14/04,5391.2
6/15/04,5451.78
6/16/04,5477.89
6/17/04,5509.48
6/18/04,5535.36
6/19/04,5542.23
6/20/04,5572.91
6/21/04,5614.94
6/22/04,5647.14
6/23/04,5641.36
6/24/04,5595.07
6/25/04,5528.38
6/26/04,5471.53
6/27/04,5472.62
6/28/04,5483.79
6/29/04,5480.8
6/30/04,5490.93
7/1/04,5510.58
7/2/04,5516.01
7/3/04,5496.84
7/4/04,5472.16
7/5/04,5478.34
7/6/04,5494.92
7/7/04,5510.38
7/8/04,5530.62
